"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Sep 14","MCI","L 0-3","11","90","0","0","0","2","0","0","0","3","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","3","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Aug 30","BUR","W 3-2","29.5","90","1","0","0","6","0","1","0","1","2","1","0","3","2","0","0","4","0","0","0","2","0","0","0","2","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Aug 24","FUL","T 1-1","7","90","0","0","0","1","0","1","0","1","1","0","0","1","0","0","1","2","2","0","1","1","1","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Aug 17","ARS","L 0-1","14.5","90","0","0","0","5","0","0","0","0","1","0","0","1","1","0","0","2","1","0","0","2","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Dec 20","EVE","W 1-0","24.5","90","0","0","0","2","1","0","0","2","1","0","0","0","0","3","3","4","0","0","0","3","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Dec 13","WOL","W 2-1","6.5","90","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","2","1","0","0","1","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Dec 6","AVL","L 1-2","23.75","90","0","0","0","2","0","1","0","2","1","0","0","3","2","2","4","5","0","0","2","2","0","0","0","2","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Dec 3","BRF","W 2-0","13.25","82","0","0","0","3","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Nov 30","CHE","T 1-1","9","90","0","0","0","1","0","0","0","0","0","0","0","1","1","1","2","4","0","1","1","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Nov 23","TOT","W 4-1","21.25","90","0","1","0","3","0","1","0","2","0","1","0","2","1","0","0","3","0","0","0","2","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Nov 8","SUN","T 2-2","8.5","90","0","0","0","1","0","1","0","0","1","0","0","1","1","1","1","4","0","0","0","1","0","0","0","2","0"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Nov 1","BUR","W 2-0","40.5","90","1","0","1","1","0","1","0","5","0","0","0","2","0","3","3","4","1","0","0","3","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Oct 26","CRY","W 1-0","30.25","81","0","0","0","3","1","1","0","3","1","0","0","2","1","2","2","1","0","0","0","2","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Oct 18","FUL","W 1-0","10","90","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","2","1","0","1","4","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Oct 4","WHU","W 2-0","24","78","1","0","0","3","0","1","0","0","1","0","0","1","1","0","0","2","2","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","BHA Sat 8:00AM","292","17.18","100%","0%","Sep 28","NEW","W 2-1","26.75","90","0","1","0","3","0","0","0","1","0","0","0","3","3","0","1","3","1","0","1","3","0","0","0","1","0"
